Tiêu đề,Số phòng ,Vị trí,Giá ,Giá / Diện tích,Diện tích,Loại hình
Bán nhà chính chủ 2 mặt ngõ,4,Huyện Thanh Trì,"2,3 ",48,48,nhà ở
"Bán nhà chủ tự xây, khu tái định cư phân lô Phố Trạm- phường Long Biên",3,Quận Long Biên,"16,4 ",278,59,nhà ở
"Bán nhà chung cư phố Nguyễn Thị định 2 ngủ, 1 khách, 1 wc full nội thấ",2,Quận Cầu  Giấy,"3,5 ",45,78,chung cư / căn hộ
BÁN NHÀ CỔ NHUẾ -DT 38m x5T GIÁ CHỈ HƠN 7-THANG MÁY - Ô TÔ TRÁNH,3,Quận Bắc Từ Liêm,"7,5 ",197,38,nhà ở
"Bán nhà Cổ Nhuế, Bắc Từ Liêm, nhà đẹp, dân xây, ôtô gần, chỉ hơn 3 ",3,Quận Bắc Từ Liêm,3,100,30,nhà ở
"Bán nhà cự khối, 4 tầng, oto đỗ cửa, ngõ thông, nhỉnh 4 ",4,Quận Long Biên,4,114,35,nhà ở
BÁN NHÀ CỰC ĐẸP NGỌC HỒI . NGÕ NÔNG -Ô TÔ ĐỖ CỬA . TIỆN ÍCH NGẬP TRÀN,4,Huyện Thanh Trì,"5,55 ",107,52,nhà ở
BÁN NHÀ CỰC ĐẸP THỊ TRẤN TRẠM TRÔI 40M- 5 TẦNG SIÊU ĐẸP CHỈ 4 ,4,Huyện Hoài Đức,4,100,40,nhà ở
Bán Nhà Đã Hoàn Thiện 5 Tầng 45m2 Ngõ Thông Cách BX Yên Nghĩa 5p,3,Huyện Quốc Oai,"3,2 ",71,45,nhà ở
"Bán nhà Đại Cát, Bắc Từ Liêm, Nhà mới , full nội thất xin sò.",3,Quận Bắc Từ Liêm,"4,1 ",137,30,nhà ở
"Bán nhà Đại La -Trần Đại Nghĩa, 40m2, gần ô tô, giá 7.3 .",3,Quận Hai Bà Trưng,"7,3 ",183,40,nhà ở
"Bán nhà Đại La, Hai Bà Trưng, 20m2, 2 mặt thoáng, cực phẩm, giá 4.68T",3,Quận Hai Bà Trưng,"4,68 ",234,20,nhà ở
Bán nhà Đại Mỗ - Hàng mới - Ô tô cách 10m - 50M - 6.9  (NTL69.21),2,Quận Nam Từ Liêm,"6,9 ",138,50,nhà ở
"Bán nhà Đại Mỗ – NTL, ô tô đỗ cửa, hạt rẻ tụt quần, 60m chỉ 6,6 ",6,Quận Nam Từ Liêm,"6,6 ",110,60,nhà ở
Bán Nhà dân xây kiên cố 33m tả thanh oai thanh trì,3,Huyện Thanh Trì,"3,4 ",103,33,nhà ở
"BÁN NHÀ DÂN XÂY LÀNG TÓ TẢ THANH OAI  45m 4 tầng 4,3 ty",4,Huyện Thanh Trì,"4,3 ",96,45,nhà ở
"BÁN NHÀ DÂN XÂY MỚI - Ô TÔ ĐỖ CỬA - TÌNH QUANG, GIANG BIÊN, LONG BIÊN",3,Quận Long Biên,"4,35 ",109,40,nhà ở
"BÁN NHÀ ĐANG HOÀN THIỆN TRONG NGÕ, 68 NGUYỄN VĂN LINH",3,Quận Long Biên,"4,8 ",160,30,nhà ở
"Bán nhà Đặng Thai Mai, Tây Hồ, ô tô đỗ cửa, ở ngay, DT 27m2 x 6T x 4 n",4,Quận Tây Hồ,"9,95 ",369,27,nhà ở
Bán nhà Đặng Tiến  45m2 oto vào nhà ngõ oto tránh vỉa hè 15.7 ,4,Quận Đống Đa,"15,7 ",349,45,nhà ở
"Bán nhà Đào Tấn, Thang Máy, Phân Lô, Ngõ Thoáng Nông Rộng 38m2*6T",4,Quận Ba Đình,"7,5 ",197,38,nhà ở
"Bán nhà đất mặt phố quận Hoàn kiếm, 260m2, đẹp long lanh, trên 60 ",10,Quận Hoàn Kiếm,65,250,260,nhà ở
"BÁN NHÀ ĐẦU CẦU HỮU HÒA, CẦU TÓ, 5 tầng, lô góc 2 mặt tho",5,Huyện Thanh Trì,"2,9 ",116,25,nhà ở
"BÁN NHÀ ĐỀN LỪ , PHÂN LÔ , VỈA HÈ , KD , DT 40M x 4T x 13 ",4,Quận Hoàng Mai,13,325,40,nhà ở
"Bán nhà đẹp 50m2 phố Kim Giang, Ngõ thông ô tô, 2 thoáng, Gần phố",3,Huyện Thanh Trì,"9,5 ",190,50,nhà ở
"Bán nhà Đẹp Gần đại học công nghiệp nhôn 4,5 tầng, Giá: 5 ",3,Quận Bắc Từ Liêm,5,147,34,nhà ở
"BÁN NHÀ ĐẸP Ô CÁCH - VIỆT HƯNG, LONG BIÊN 4 TẦNG 3,95  15m Ra Ô Tô",3,Quận Long Biên,"3,95 ",172,23,nhà ở
Bán nhà đẹp ở ngay Nguyễn Lương Bằng Đống Đa,2,Quận Đống Đa,"3,9 ",156,25,nhà ở
"Bán Nhà Đẹp Tại Đường Hồng Hà, Phường Chương Dương, Hoàn Kiếm, Hà Nội",4,Quận Hoàn Kiếm,"16,5 ",171,97,nhà ở
BÁN NHÀ ĐẸP TẠI MỸ ĐÌNH - SỔ ĐỎ ĐẦY ĐỦ- DIÊN TÍCH 40.7M2,3,Quận Nam Từ Liêm,"8,68 ",213,41,nhà ở
"Bán Nhà Đẹp Tại Thôn Xuân Nộn, Xã Xuân Nộn -  Anh",4,Huyện Đông Anh,"5,5 ",32,171,nhà ở
"BÁN NHÀ ĐỊNH CÔNG HẠ, DT 45M x 5T GIÁ 5,4 . Ô TÔ ĐỖ CỬA, KINH DOANH",4,Quận Hoàng Mai,"5,4 ",120,45,nhà ở
"BÁN NHÀ ĐỊNH CÔNG THƯỢNG 36M2 X 4 TẦNG MẶT, MẶT TIỀN 4.5M, GIÁ 4.95 ",10,Quận Hoàng Mai,"4,95 ",138,36,nhà ở
"Bán nhà định công, gara ôtô, ô tô tránh, kd, 58m/5T, giá 12.2 ",4,Quận Hoàng Mai,"12,2 ",210,58,nhà ở
BÁN NHÀ ĐÌNH THÔN 45m2 CHỈ VỚI HƠN 9 -NHÀ DÂN XÂY CHẮC CHẮN NGÕ NÔNG,6,Quận Nam Từ Liêm,"9,7 ",216,45,nhà ở
"Bán nhà Đội Cấn - Ba Đình. DT: 37m, 5tầng, MT: 5.6m",4,Quận Ba Đình,4,108,37,nhà ở
BÁN NHÀ ĐỘI CẤN - BA ĐÌNH. NGÕ Ô TÔ NHỎ. GIÁ 10.5 .,5,Quận Ba Đình,"10,5 ",210,50,nhà ở
BÁN NHÀ ĐỘI CẤN 65M NGÕ RỘNG GIÁ NHỈNH 9 ,6,Quận Ba Đình,"9,75 ",150,65,nhà ở
BÁN NHÀ ĐỘI CẤN- BA ĐÌNH- 39M2-5.3 - NGÕ THOÁNG - GẦN PHỐ - GẦN Ô TÔ,3,Quận Ba Đình,"5,3 ",136,39,nhà ở
Bán nhà Đội Cấn giảm chào 2 ,5,Quận Ba Đình,19,158,120,nhà ở
"BÁN NHÀ ĐÓN TẾT - 5 TẦNG, 42M - PHỐ LƯƠNG VĂN CAN, HÀ  - 8.7 ",4,Quận Hà Đông ,"8,7 ",207,42,nhà ở
BÁN NHÀ ĐỐNG ĐA - KINH DOANH ĐỈNH - TIỆN ÍCH XUNG QUANH.,4,Quận Đống Đa,"7,5 ",147,51,nhà ở
"Bán Nhà  Ngạc, Nhà Mới Tính, ngõ rộng, 100 mét ra đường oto tránh",3,Quận Bắc Từ Liêm,"5,6 ",144,39,nhà ở
"BÁN NHÀ DÒNG TIỀN KIM ĐỒNG , FULL NỘI THẤT , DT 56M x7T x 12,9 ",10,Quận Hoàng Mai,"12,9 ",230,56,nhà ở
"Bán nhà DT 25 m2- 3 tầng, MT 3,3m, Hoàng Văn Thái, Thanh Xuân, 4.85 ",3,Quận Thanh Xuân,"4,85 ",194,25,nhà ở
BÁN NHÀ ĐỨC GIANG - PHÂN KHÚC HIẾM - XÁCH VALY Ở LUÔN - LOANH QUANH 3t,3,Quận Long Biên,"3,85 ",154,25,nhà ở
"Bán Nhà Đường Phú Minh, Tiện Ích Đầy Đủ - Ấp Ủ Tiềm Năng ,7.5 ",6,Quận Bắc Từ Liêm,"6,9 ",115,60,nhà ở
"Bán nhà Dương Văn Bé, ô tô đỗ cửa, kinh doanh DT32mx3TxMT3,5 - 5,5 ",3,Quận Hai Bà Trưng,"5,5 ",172,32,nhà ở
"BÁN NHÀ GẤP NGHI TÀM-AN DƯƠNG NGÕ RỘNG THOÁNG, GẦN HỒ TÂY 40M 5  25",4,Quận Tây Hồ,"5,25 ",131,40,nhà ở
bán nhà giá rẻ Phú Đô,4,Quận Nam Từ Liêm,"6,9 ",209,33,nhà ở
Bán nhà Gốc Đề Minh Khai dt 48m2 x5 tầng ngõ rộng,4,Quận Hai Bà Trưng,"9,15 ",191,48,nhà ở
"Bán Nhà Hai Bà Trưng.Dt 43m,ngõ thoáng,sát cạnh Time city.Giá 6,5 ",3,Quận Hai Bà Trưng,"6,5 ",151,43,nhà ở
Bán nhà Hàng Gà 55m2 nhà đẹp vỉa hè rộng kinh doanh tốt 48 ,4,Quận Hoàn Kiếm,48,873,55,nhà ở
"BÁN NHÀ HOÀNG CẦU 8 40m MẶT TIỀN 4.5m NGÕ THÔNG Ô TÔ,ĐỐNG ĐA HÀ NỘI",4,Quận Đống Đa,8,200,40,nhà ở
"Bán nhà Hoàng Cầu, Đống Đa, Nhà mới 6 tầng, thang máy, 52m, 9.5 ",6,Quận Đống Đa,"9,5 ",183,52,nhà ở
Bán nhà Hoàng Hoa Thám - Ngõ 2 ô tô tránh - 55m2 - MT 4.7m - 10.2 ,4,Quận Ba Đình,"10,2 ",185,55,nhà ở
Bán nhà Hoàng Hoa Thám - TT Ba Đình - Tầm tiền Hiếm - Nhỉnh 5,3,Quận Ba Đình,"5,3 ",133,40,nhà ở
"Bán Nhà Hoàng Hoa Thám 32M, MT: 3,5M Chỉ 3,9 .Ngõ thông, 30m ra ô tô",1,Quận Ba Đình,"3,9 ",122,32,nhà ở
"Bán nhà Hoàng Hoa Thám, Ba Đình, 5 tầng 3 giá 5.35 ",3,Quận Ba Đình,"5,35 ",268,20,nhà ở
"Bán nhà Hoàng Mai, 43m,5t, Ngõ thông,chỗ để xe rộng, 7,1ty",5,Quận Hoàng Mai,"7,1 ",165,43,nhà ở
"BÁN NHÀ HỒNG HÀ, HOÀN KIẾM, 3, THÔNG Ô TÔ, KINH DOANH, CHỈ 3.85 ",3,Quận Hoàn Kiếm,"3,85 ",128,30,nhà ở
"Bán nhà Hồng Hà, Hoàn Kiếm, 37m2, 4 tầng, 20m ra phố giá 4.1 ",4,Quận Hoàn Kiếm,"4,1 ",111,37,nhà ở
"BÁN NHÀ HỒNG HÀ, HOÀN KIẾM. 28M, 4 TẦNG, MT 3,6M GIÁ 6,2 .",3,Quận Hoàn Kiếm,"6,2 ",221,28,nhà ở
"Bán nhà Hữu Hưng , Tây Mỗ ,  Từ Liêm nhà mới koog đón tết",3,Quận Nam Từ Liêm,"5,2 ",163,32,nhà ở
"BÁN NHÀ HUY DU (SIÊU HIẾM), Ô TÔ 7 CHỖ VÀO NHÀ, LÔ GÓC, 45M, 12.3 ",7,Quận Nam Từ Liêm,"12,3 ",273,45,nhà ở
"Bán nhà khu Đào Tấn 72m2 - hiện đại, vị trí vàng, giá tốt!",4,Quận Ba Đình,11,157,70,nhà ở
Bán Nhà Khương Đình Thanh Xuân Diện tích 62m 4 tầng MT 4m Giá 11.4 ,3,Quận Thanh Xuân,"11,4 ",184,62,nhà ở
"Bán Nhà Khương Hạ Thanh Xuân 12,3  45m2 7T Thang Máy Ô Tô Kinh Doanh",5,Quận Thanh Xuân,"12,3 ",273,45,nhà ở
"Bán Nhà Khương Thượng Đống Đa 8,9  60m2 5T MT 4,5M  Full Nội Thất",3,Quận Đống Đa,"8,9 ",148,60,nhà ở
"BÁN NHÀ KIM ĐỒNG , Ô TÔ VÀO , KINH DOANG , DÒNG TIỀN, 55Mx6Tx14",5,Quận Hoàng Mai,14,255,55,nhà ở
Bán nhà Kim Giang  5T – 40m ra phố - Nhà đẹp - Ở luôn,3,Quận Hoàng Mai,"4,35 ",207,21,nhà ở
"BÁN NHÀ KIM GIANG - THANH LIỆT. Ô TÔ ĐỖ CỬA. DT 45M x 6T. GIÁ 5,6 .",4,Huyện Thanh Trì,"5,6 ",124,45,nhà ở
"BÁN NHÀ KIM GIANG, 7,35, 43 , LÔ GÓC 3 THOÁNG - VỊ TRÍ ĐẸP",5,Quận Hoàng Mai,"7,35 ",171,43,nhà ở
bán nhà Kim Hoàng - Vân Canh - 5 tầng xây mới - giá mềm,3,Huyện Hoài Đức,"4,1 ",137,30,nhà ở
BÁN NHÀ KIM MÃ -DT38m x 5T -GIÁ CHỈ HƠN 6 - NHÀ ĐẸP - Ở NGAY-GẦNOTO,3,Quận Ba Đình,"6,5 ",171,38,nhà ở
"Bán nhà Kim Ngưu, 32m2, thiết kế hợp lý, ngõ thông, xe ba gác, 5.5 ",3,Quận Hai Bà Trưng,"5,5 ",172,32,nhà ở
"Bán nhà kinh doanh, vỉa hè ô tô thanh liệt thanh trì dt8tm 6 tầng mt5m",5,Huyện Thanh Trì,16,188,85,nhà ở
"BÁN NHÀ LA THÀNH, ĐỐNG ĐA, 50M, MT 4M, GIÁ 8,5  . NHÀ ĐẸP, GẦN Ô TÔ",3,Quận Đống Đa,"8,6 ",172,50,nhà ở
"BÁN NHÀ LẠC LONG QUÂN ,TÂY HỒ, NHÀ VUÔNG, NGÕ RỘNG, GẦN Ô TÔ, 36M2 X 1",2,Quận Tây Hồ,"2,15 ",60,36,nhà ở
"BÁN NHÀ LẠC LONG QUÂN, GẦN Ô TÔ, THIẾT KẾ ĐẸP, KHU VIP, THOÁNG ĐÃNG",4,Quận Tây Hồ,"7,95 ",137,58,nhà ở
"Bán nhà Lai Xá, ngõ thông, gần ô tô dừng đỗ, nhà mới, 36,5m 5T 5,5 ",6,Huyện Hoài Đức,"5,5 ",151,37,nhà ở
"Bán nhà Lai Xá, ô tô đỗ cửa, gần hồ, ngõ thông, 42,5 m 4T chỉ 6,1 ",3,Huyện Hoài Đức,"6,1 ",144,43,nhà ở
BÁN NHÀ LÊ HỒNG PHONG - 3 NGỦ FULL NỘI THẤT - ĐỦ CÔNG NĂNG,3,Quận Hà Đông ,"3,65 ",122,30,nhà ở
"Bán nhà Lê Quang Đạo 32m2,6 tầng, VF3/Su cóc đi qua cửa chỉ 7.3 ",4,Quận Nam Từ Liêm,"6,9 ",216,32,nhà ở
"Bán Nhà Lê Quang Đạo 36m x 6 Tầng, 8 PKK FULL ĐỒ, Ngõ Thông, 30m Ô TÔ",8,Quận Nam Từ Liêm,"7,2 ",200,36,nhà ở
"BÁN NHÀ LÊ TRỌNG TẤN  - Ô TÔ TRÁNH - KD TỐT, 56, 5 TẦNG, CHỈ 12.9 ",4,Quận Thanh Xuân,"12,9 ",230,56,nhà ở
"BÁN NHÀ LÊ TRỌNG TẤN, HÀ , VỊ TRÍ ĐẮC ĐỊA, DT 110M 5T CHỈ 10 ",5,Quận Hà Đông ,10,91,110,nhà ở
Bán Nhà Liền Kề Phân Lô - KĐT Mỹ Đình - Quận Nam Từ Liêm,6,Quận Nam Từ Liêm,"18,5 ",231,80,nhà ở
Bán nhà liền kề Vạn Phúc Hà  ô tô tránh 55M2 giá nhỉnh 8 ,3,Quận Hà Đông ,"8,5 ",155,55,nhà ở
"Bán nhà Liên Mạc- Bắc Từ Liêm, 36m2, 3.5 ",3,Quận Bắc Từ Liêm,"3,5 ",97,36,nhà ở
BÁN NHÀ LIÊN NINH - GẦN QUỐC LỘ 1A - 52M2 - 2  5,2,Huyện Thanh Trì,"2,5 ",48,52,nhà ở
"BÁN NHÀ LINH ĐƯỜNG - LINH ĐÀM. DT 69M X 5T. GIÁ 5,9 .",4,Quận Hoàng Mai,"5,9 ",86,69,nhà ở
"Bán nhà Lĩnh , cách mặt phố 10m, ngõ rộng, thoáng, nhà đẹp ở luôn",3,Quận Hoàng Mai,5,156,32,nhà ở
"Bán nhà Lĩnh , ô tô đỗ cửa, ô tô ngủ trong nhà, lô góc nhà đẹp",4,Quận Hoàng Mai,"5,9 ",155,38,nhà ở
"Bán nhà Lĩnh , phân lô ô tô đỗ cửa, 2 mặt thoáng, ngõ nông gần phố.",3,Quận Hoàng Mai,"6,8 ",206,33,nhà ở
Bán Nhà Lô Góc Siêu Thoáng 5 Tầng 40m2 Ngay Gần ĐH TDTT Cách QL6 3p,4,Huyện Quốc Oai,3,75,40,nhà ở
Bán Nhà Lô Góc Xây Độc Lập 5 Tầng 40m2 Ngõ Thông Ngay Gần Bx Yên Nghĩa,4,Huyện Quốc Oai,"3,4 ",85,40,nhà ở
Bán nhà Long Biên,2,Quận Long Biên,"2,4 ",34,70,chung cư / căn hộ
bán nhà mặt  phố trần hưng đạo quận hoàn kiếm,4,Quận Hoàn Kiếm,90,667,135,nhà ở
"BÁN NHÀ MẶT ĐƯỜNG 34M2, 2TẦNG (700TR) THANH TRÌ,HN (mua bán chính chủ)",2,Huyện Thanh Trì,"0,7",21,34,nhà ở
Bán nhà mặt đường Đô Nghĩa Hà  75m2 đường 30m view hồ,4,Quận Hà Đông ,22,293,75,nhà ở
BÁN NHÀ MẶT ĐƯỜNG HỮU HOÀ VỈA HÈ RỘNG KINH DOANH ĐỈNH 53m 5T 12ty,4,Huyện Thanh Trì,12,226,53,nhà ở
Bán nhà mặt đường ngã 4 Cao Lỗ - Cổ Loa,3,Huyện Đông Anh,"14,3 ",170,84,nhà ở
"bán nhà mặt đường QL32 - khu Trôi - Hoài Đức - 3 tầng 55,5m2",2,Huyện Hoài Đức,"9,8 ",177,56,nhà ở
"Bán nhà mặt đường,kinh doanh tốt",1,Huyện Đông Anh,"8,2 ",117,70,nhà ở
BÁN NHÀ MẶT NGÕ 39m  6T CẦU MỚI HỮU HOÀ THANH TRÌ,3,Huyện Thanh Trì,"4,5 ",129,35,nhà ở
Bán nhà mặt ngõ kinh doanh phố Thuỵ Khuê 40m2 3tầng 5.2 Hồ,2,Quận Tây Hồ,"5,2 ",130,40,nhà ở
"Bán nhà mặt ngõ Nguyễn Lương Bằng, sổ to, nhà đẹp, thoáng trước sau, .",4,Quận Đống Đa,"11,2 ",184,61,nhà ở
"BÁN NHÀ MẶT NGÕ PHỐ NGỌC KHÁNH BA ĐÌNH.NHÀ 38M2;5TẦNG;4 ;8,6 .",4,Quận Ba Đình,"8,6 ",226,38,nhà ở
"BÁN NHÀ MẶT NGÕ QUAN NHÂN THANH XUÂN 58m2;4TẦNG;MẶT 5M;5;9,3 .",5,Quận Thanh Xuân,"9,3 ",160,58,nhà ở
bán nhà mặt phố 190 lê duẩn,3,Quận Hai Bà Trưng,"6,6 ",440,15,nhà ở
Bán nhà mặt phố 75m2 tại thị trấn  anh,4,Huyện Đông Anh,16,213,75,nhà ở
BÁN NHÀ MẶT PHỐ CỔ HÀNG NÓN NGAY NGÃ BA HÀNG QUẠT VÀ LƯƠNG VĂN CAN HÀN,5,Quận Hoàn Kiếm,39,709,55,nhà ở
BÁN NHÀ MẶT PHỐ CỔ SÁT HỒ GƯƠM MẶT PHỐ NGUYỄN SIÊU VIEW GÓC 2 MẶT TIỀN,4,Quận Hoàn Kiếm,33,600,55,nhà ở
Bán Nhà Mặt Phố Đặng Thùy Trâm- 75m- thoáng trước sau- vỉa hè rộng...,4,Quận Cầu Giấy,"34,3 ",457,75,nhà ở
BÁN NHÀ MẶT PHỐ Đội Cấn 33m 4 tầng mt Vip  4.86m giá  10.5  CTL,3,Quận Ba Đình,"10,5 ",318,33,nhà ở
"Bán nhà mặt phố đường Nguyễn Thái Học, diện tích 40 m2 , nhà 6 tầng th",6,Quận Hoàn Kiếm,"31,8 ",795,40,nhà ở
BÁN NHÀ MẶT PHỐ ĐƯỜNG PHÙNG HƯNG CON PHỐ TÂY VỊ TRÍ ĐẸP NGAY NGÃ BA HÀ,5,Quận Hoàn Kiếm,100,1000,100,nhà ở
Bán Nhà Mặt Phố Hà Trung Hoàn Kiếm 48  50/70 m2 mặt tiền góc 19m,2,Quận Hoàn Kiếm,48,960,50,nhà ở
"Bán nhà mặt phố Hai Bà Trưng, Hoàn Kiếm. Sổ đỏ chính chủ",2,Quận Hoàn Kiếm,"7,625",635,12,nhà ở
BÁN NHÀ MẶT PHỐ HÀNG BÀI ĐỐI DIỆN NHÀ HÁT HỒ GƯƠM. VỊ TRÍ CỰC ĐẸP NGAY,8,Quận Hoàn Kiếm,45,1125,40,nhà ở
BÁN NHÀ MẶT PHỐ HÀNG MÃ CẠNH HỒ GƯƠM NGAY NGÃ TƯ  CHỢ ĐỒNG XUÂN HÀNG Đ,4,Quận Hoàn Kiếm,45,900,50,nhà ở
"Bán nhà mặt phố Hoàn Kiếm 5 tầng, tiện ích đầy đủ, vị trí VIP 7,2 ",6,Quận Hoàn Kiếm,"7,2 ",144,50,nhà ở
bán nhà mặt phố Hồng hà,5,Quận Hoàn Kiếm,19,190,100,nhà ở
"Bán Nhà Mặt Phố KD Pháo Đài Láng 85m, 8 tầng, mt 4.5m, giá 28.5 .",10,Quận Đống Đa,"28,5 ",335,85,nhà ở
Bán nhà mặt phố Kim Mã,4,Quận Ba Đình,"13,2 ",880,15,nhà ở
"Bán Nhà Mặt Phố Kinh Doanh Ngô Thì Nhậm 32m, 3 tầng, giá 15.5 .",3,Quận Hai Bà Trưng,"15,5 ",484,32,nhà ở
"Bán nhà mặt phố Lạc Long Quân, DT55m2 x 7tầng thang máy, kinh doanh",8,Quận Tây Hồ,"24,2 ",440,55,nhà ở
BÁN NHÀ MẶT PHỐ LÊ HỒNG PHONG ĐỐI DIỆN LĂNG BÁC VỊ TRÍ ĐẸP NGAY NGÃ TƯ,5,Quận Ba Đình,45,1000,45,nhà ở
Bán Nhà Mặt Phố Lê Trọng Tấn - Thanh Xuân,8,Quận Thanh Xuân,25,481,52,nhà ở
"Bán nhà mặt phố Lý  Đế, quận Hoàn Kiếm  DT 114m2 giá 45.5 ",4,Quận Hoàn Kiếm,"45,5 ",399,114,nhà ở
"Bán nhà mặt phố Miếu Đầm hai mặt ngõ, mặt tiền đẹp, 155m 5T giá 50",6,Quận Nam Từ Liêm,50,323,155,nhà ở
BÁN NHÀ MẶT PHỐ MINH KHAI- VĨNH TUY- HAI BÀ TRƯNG- 65M MT 4.2M 14 ,3,Quận Hai Bà Trưng,14,215,65,nhà ở
BÁN NHÀ MẶT PHỐ TẠ HIỆN NGÃ TƯ QUỐC TẾ LƯƠNG NGỌC QUYẾN VỊ TRÍ TUYỆT Đ,5,Quận Hoàn Kiếm,60,1000,60,nhà ở
BÁN NHÀ MẶT PHỐ TÂY HỒ 60M 8TẦNG 6M MẶT TIỂN THANG MÁY O TÔ 22 ,4,Quận Tây Hồ,22,367,60,nhà ở
"Bán nhà Mặt phố Thanh Nhàn, DT 128m x mặt tiền 9m,dòng tiền 1.2 /năm",5,Quận Hai Bà Trưng,52,406,128,nhà ở
"Bán nhà mặt phố Trần Nhật Duật, dt 81,3m2, xây 3 tầng, giá 40 ",3,Quận Hoàn Kiếm,40,492,81,nhà ở
"Bán Nhà Mặt Phố Trung Kính Cầu Giấy 74Ty 7 Tầng Mặt Tiền 5,5m",10,Quận Cầu Giấy,74,860,86,nhà ở
BÁN NHÀ MẶT QUỐC LỘ 2 NHÀ 2 MẶT,7,Huyện Sóc Sơn,"7,8 ",54,145,nhà ở
Bán nhà mặt tiền  văn điển thanh trì,4,Huyện Thanh Trì,7,140,50,nhà ở
"Bán nhà mát, ngõ to Hào , Đống Đa. Bãi đỗ xe đầu ngõ.",4,Quận Đống Đa,"9,35 ",234,40,nhà ở
"BÁN NHÀ MẬU LƯƠNG , CHỦ BÁN GẤP NHÀ CHƯA QUA SÀN NÀO",4,Quận Hà Đông ,"4,6 ",128,36,nhà ở
BÁN NHÀ MẾ TÔNG - Ô TÔ 7 CHỖ VÀO NHÀ - GẦN PHỐ  HỒNG - TIỆN ÍCH ĐầY,2,Huyện Đông Anh,"3,7 ",43,87,nhà ở
"Bán nhà Mễ Trì Thượng, DT: 43 m2, 4 tầng +1tum,  cách ngõ ô tô 5m.",3,Quận Nam Từ Liêm,"6,9 ",160,43,nhà ở
"Bán nhà Minh Khai , giảm chào 300tr còn 6,2  , 45m2 , mặt tiền TO",3,Quận Hai Bà Trưng,"6,2 ",138,45,nhà ở
Bán nhà Minh Khai 30m2 5T – Tặng nội thất – Hàng xóm Times city,3,Quận Hai Bà Trưng,"5,39 ",180,30,nhà ở
BÁN NHÀ MINH KHAI BẮC TỪ LIÊM  -Nhà mới cứng,4,Quận Bắc Từ Liêm,6,150,40,nhà ở
BÁN NHÀ MINH KHAI HAI BÀ TRƯNG KD NHỎ NGÕ KHÔNG FULL NT 21M 4T4.35 ,2,Quận Hai Bà Trưng,"4,35 ",207,21,nhà ở
BÁN NHÀ MINH KHAI HAI BÀ TRƯNG TẦM TIỀN HIẾM NGÕ NÔNG 18M 5T 3.4 ,3,Quận Hai Bà Trưng,"3,4 ",189,18,nhà ở
"Bán nhà minh khai ô tô đỗ cửa,mặt tiền khủng kinh doanh đỉnh.",2,Quận Hai Bà Trưng,"4,7 ",336,14,nhà ở
Bán Nhà Mỗ Lao Chính Chủ Nhà Đẹp,4,Quận Hà Đông ,18,305,59,nhà ở
"BÁN NHÀ MỚI 5 TẦNG HƠN 4 , SỔ ĐỎ 35m NGUYỄN KHOÁI SÁT CẤP1 THANH TRÌ",3,Quận Hoàng Mai,"4,35 ",124,35,nhà ở
"Bán nhà mới đẹp, hiện đại, sáng thoáng, ba bước ra đường ô tô",3,Huyện Hoài Đức,"4,3 ",143,30,nhà ở
BÁN NHÀ MỚI FULL NỘI THẤT 5TẦNG VÂN CANH ĐI NƯỚC NGOÀI,3,Huyện Hoài Đức,4,129,31,nhà ở
"Bán nhà mới ngách 396/29 trương định,8,2ty,35m,mt4,8m có thang máy",5,Quận Hoàng Mai,"8,2 ",234,35,nhà ở
"BÁN NHÀ MỚI NGÕ 94 PHỐ PHÚ THƯỢNG, 10M Ô TÔ, NGÕ THÔNG, TẶNG NỘI THẤT",3,Quận Tây Hồ,"6,7 ",191,35,nhà ở
"BÁN NHÀ MỚI PHỐ PHÚ XÁ RẤT GẦN Ô TÔ, KHU VỰC THOÁNG MÁT, VĂN MINH",4,Quận Tây Hồ,"8,6 ",141,61,nhà ở
"BÁN NHÀ MỚI PHÚ THƯỢNG GẦN Ô TÔ, CỰC KÌ THOÁNG, GẦN ĐƯỜNG ĐÔI CIPUTRA",4,Quận Tây Hồ,"8,5 ",142,60,nhà ở
"bán nhà mới số 9 ngõ 299/18 hoàng mai, 40m, 5 tầng, thang máy. 8,2ty",5,Quận Hoàng Mai,"8,2 ",205,40,nhà ở
"bán nhà mới số 9 ngõ 299/18 hoàng mai, 40m, 5 tầng, thang máy. 8,2ty",5,Quận Hoàng Mai,"8,2 ",205,40,nhà ở
"Bán nhà mới tinh đường Hoàng Mai:20m2, 2 tầng, 1,25 ",1,Quận Hoàng Mai,"1,25 ",74,17,nhà ở
"Bán nhà mới tinh  Dư: 24m, 5 tầng, full nội thất, 2,6 ",3,Quận Hoàng Mai,"2,6 ",108,24,nhà ở
"Bán nhà mới tinh,ngõ VĂN CHƯƠNG,ĐỐNG ĐA,38m,5 tầng,6 phòng ngủ,6,85 ",6,Quận Đống Đa,"6,85 ",180,38,nhà ở
"BÁN NHÀ MỚI TRÍCH SÀI, GẦN HỒ TÂY, THIẾT KẾ THÔNG SÀN, RẤT THOÁNG",3,Quận Tây Hồ,"6,7 ",191,35,nhà ở
"BÁN NHÀ MỚI VÕNG THỊ THOÁNG TRƯỚC SAU, GẦN Ô TÔ, TIỆN ĐI LẠI, GẦN HỒ",4,Quận Tây Hồ,"7,9 ",139,57,nhà ở
